CMPLNT_FR_DT,CMPLNT_FR_TM,CMPLNT_TO_DT
1/9/1966,20:10:00,
9/21/1968,12:00:00,3/1/1970
1/1/1970,0:01:00,6/30/1973
1/1/1971,0:01:00,
1/1/1972,0:01:00,1/2/1972
2/12/1972,0:01:00,2/12/1972
11/17/1972,4:00:00,12/27/1972
1/1/1975,0:01:00,12/31/1983
7/16/1976,3:55:00,7/16/2016
1/1/1977,0:01:00,8/7/1982
5/1/1977,14:00:00,
9/1/1977,8:00:00,6/25/1979
12/9/1977,0:01:00,12/8/1980
1/1/1978,0:01:00,1/1/1983
1/1/1978,12:00:00,12/31/1980
2/1/1978,0:01:00,6/1/1982
3/1/1979,0:01:00,4/1/1979
6/13/1979,5:00:00,6/13/1979
8/1/1979,0:01:00,8/1/1981
11/15/1980,3:00:00,11/15/1980
7/31/1981,8:00:00,
1/1/1983,14:30:00,12/31/1983
7/1/1984,12:00:00,
1/1/1985,0:01:00,12/31/1992
1/1/1985,12:00:00,12/31/1986
2/7/1985,8:00:00,2/7/1986
12/1/1985,0:01:00,12/31/1985
1/1/1986,0:01:00,4/12/2013
1/1/1986,0:01:00,6/4/2006
1/1/1986,16:00:00,1/1/1987
2/1/1986,1:00:00,2/1/1989
2/1/1986,23:00:00,2/1/1989
2/7/1986,21:00:00,
3/12/1986,0:01:00,6/16/2008
6/23/1986,8:00:00,8/1/1987
9/10/1986,12:00:00,9/6/1994
10/30/1986,12:00:00,11/15/1986
4/15/1987,8:00:00,4/15/1988
10/13/1987,0:01:00,10/12/1989
1/1/1988,0:01:00,1/1/1995
1/1/1988,10:00:00,1/1/1989
1/1/1988,21:00:00,1/1/2008
12/1/1988,16:00:00,12/1/1988
1/1/1989,0:00:00,
1/1/1989,0:01:00,
1/1/1989,0:01:00,12/31/1989
1/1/1989,18:00:00,12/31/1989
1/1/1989,18:00:00,12/31/1989
1/1/1990,0:00:00,8/8/2000
1/1/1990,0:01:00,1/1/1990
1/1/1990,0:01:00,12/31/1990
1/1/1990,8:00:00,12/31/1996
1/2/1990,0:00:00,
12/14/1990,0:01:00,12/14/1991
1/1/1991,0:01:00,12/31/1991
1/1/1991,6:00:00,1/1/1993
1/1/1991,8:00:00,7/31/2008
2/1/1991,0:01:00,1/31/1992
5/5/1991,17:00:00,5/5/1991
7/15/1991,15:00:00,5/3/1999
1/1/1992,0:01:00,1/1/1995
1/1/1992,0:01:00,1/1/2006
1/1/1992,0:01:00,9/18/2008
1/1/1992,9:00:00,1/1/1998
1/1/1992,10:00:00,4/1/1993
1/1/1992,20:00:00,10/1/2008
1/14/1992,0:01:00,9/1/1992
1/31/1992,0:01:00,12/31/1992
1/31/1992,0:01:00,12/31/1992
2/15/1992,17:00:00,7/6/1999
